xs4_33,65869
xp2_7,61784
xs6_696,34735
xq4_153,18683
xs7_2596,10313
xs5_253,9644
xs6_356,6574
xs4_252,2096
xs8_6996,2001
xs7_25ac,677
xp2_7e,584
xs12_g8o653z11,347
xs6_25a4,138
xp2_318c,87
xs14_g88m952z121,82
xs8_69ic,60
xs7_178c,30
xq4_6frc,26
xs8_25ak8,23
xp3_co9nas0san9oczgoldlo0oldlogz1047210127401,16
xq4_27dee6,10
xs14_69bqic,9
xs6_bd,5
xs14_g88b96z123,5
xs9_31ego,4
xs16_g88m996z1221,3
xs9_4aar,3
xs9_178ko,3
xs8_35ac,3
xs12_raar,2
xs10_g8o652z01,2
xs6_39c,2
xs8_3pm,1
xq4_27deee6,1
xs14_6970796,1
xs18_rhe0ehr,1
xs10_69ar,1
xs8_178k8,1
xs16_j1u0696z11,1
xs15_69aczx3156,1
xs10_g8ka52z01,1
xs16_3lk453z321,1