xs4_33,67667
xp2_7,62466
xs6_696,35384
xq4_153,19384
xs7_2596,10462
xs5_253,9680
xs6_356,6709
xs4_252,2133
xs8_6996,2064
xs7_25ac,709
xp2_7e,554
xs12_g8o653z11,345
xs6_25a4,149
xs14_g88m952z121,115
xp2_318c,96
xs8_69ic,65
xs7_178c,27
xq4_6frc,26
xs8_25ak8,23
xp3_co9nas0san9oczgoldlo0oldlogz1047210127401,17
xs14_69bqic,9
xq4_27dee6,8
xs10_g8o652z01,8
xs16_g88m996z1221,5
xs9_31ego,5
xs6_bd,4
xs10_35ako,3
xs11_g8o652z11,3
xs8_3pm,3
xs14_g88b96z123,3
xs9_4aar,2
xs9_178ko,2
xs8_178k8,2
xs6_39c,2
xs10_32qr,1
xs15_354cgc453,1
xs14_j1u066z11,1
xs9_25ako,1
xs8_35ac,1
xs16_j1u0696z11,1
xs16_69is0si6,1